ranker,player,,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
91,Vinny Del Negro,Vinny Del Negro,PG,26,SAS,SAS,73,1526,13.9,.564,.056,.272,1.5,10.3,6.1,27.6,1.5,0.0,16.0,16.5,,2.2,1.3,3.5,.111,,-0.8,-0.2,-1.0,0.4
92,Bison Dele,Bison Dele,PF,23,ORL,ORL,21,240,12.9,.553,.013,.256,12.0,14.2,13.2,3.2,2.9,4.3,22.4,20.1,,-0.1,0.4,0.3,.069,,-4.2,2.3,-1.8,0.0
93,Vlade Divac*,Vlade Divac,C,24,LAL,LAL,82,2525,17.1,.542,.092,.416,9.8,23.2,16.5,13.6,2.5,3.4,18.1,20.0,,1.5,4.1,5.6,.107,,-0.3,1.8,1.5,2.2
94,James Donaldson,James Donaldson,C,35,UTA,UTA,6,94,10.7,.585,.000,.643,7.5,27.0,17.6,1.4,0.5,4.8,18.2,10.0,,0.0,0.2,0.2,.099,,-3.2,0.8,-2.3,0.0
95,Sherman Douglas,Sherman Douglas,PG,26,BOS,BOS,79,1932,13.5,.518,.055,.283,3.9,5.6,4.7,35.7,1.3,0.3,21.3,17.0,,1.5,1.1,2.6,.064,,0.5,-1.7,-1.3,0.4
96,Greg Dreiling,Greg Dreiling,C,30,IND,IND,43,239,5.0,.356,.069,.259,12.1,18.1,15.1,4.3,1.0,2.1,12.2,13.0,,-0.2,0.2,0.1,.011,,-7.1,-1.2,-8.3,-0.4
97,Clyde Drexler*,Clyde Drexler,SG,30,POR,POR,49,1671,20.7,.517,.163,.358,8.0,12.4,10.1,26.2,2.8,1.4,10.9,26.1,,3.4,2.5,6.0,.171,,3.8,1.7,5.5,3.2
98,Kevin Duckworth,Kevin Duckworth,C,28,POR,POR,74,1762,11.4,.477,.003,.253,7.1,17.2,12.0,5.9,1.2,1.4,10.2,19.9,,0.2,2.3,2.5,.069,,-3.0,-0.2,-3.3,-0.6
99,Chris Dudley,Chris Dudley,C,27,NJN,NJN,71,1398,9.9,.390,.000,.414,16.7,23.4,20.0,1.5,0.6,4.6,14.7,11.1,,-0.3,2.4,2.2,.074,,-3.6,0.0,-3.7,-0.6
100,Joe Dumars*,Joe Dumars,SG,29,DET,DET,77,3094,17.6,.555,.206,.273,2.2,3.2,2.6,16.4,1.3,0.1,7.8,24.5,,7.8,1.3,9.1,.141,,2.9,-0.7,2.1,3.2
101,Richard Dumas,Richard Dumas,SF,23,PHO,PHO,48,1320,18.6,.564,.005,.373,8.6,10.1,9.4,6.9,3.1,1.8,12.1,23.8,,2.1,1.9,3.9,.142,,0.9,0.6,1.5,1.2
102,Pat Durham,Pat Durham,SF,25,GSW,GSW,5,78,2.9,.347,.000,.480,7.2,12.9,10.0,6.4,0.6,0.8,18.8,19.5,,-0.2,0.0,-0.2,-0.110,,-8.1,-3.0,-11.1,-0.2
103,Mark Eaton,Mark Eaton,C,36,UTA,UTA,64,1104,8.7,.582,.000,.385,7.8,19.1,13.6,2.0,0.8,4.6,22.1,7.6,,0.4,1.5,1.9,.082,,-3.2,1.4,-1.8,0.0
104,Blue Edwards,Blue Edwards,SF,27,MIL,MIL,82,2729,16.4,.569,.098,.277,5.2,11.1,8.1,12.5,2.4,1.1,12.6,21.8,,3.7,2.0,5.7,.101,,0.8,-0.3,0.5,1.7
105,James Edwards,James Edwards,C,37,LAL,LAL,52,617,11.2,.509,.000,.437,5.5,13.1,9.2,10.4,0.8,0.7,13.7,25.8,,0.0,0.4,0.4,.030,,-3.7,-1.3,-5.0,-0.5
106,Kevin Edwards,Kevin Edwards,SG,27,MIA,MIA,40,1134,17.1,.530,.037,.305,4.8,7.5,6.1,17.9,3.0,0.7,12.5,22.9,,1.4,1.2,2.5,.108,,1.1,1.0,2.1,1.2
107,Craig Ehlo,Craig Ehlo,SG,31,CLE,CLE,82,2559,14.2,.566,.311,.153,5.3,12.4,9.0,13.9,2.1,0.5,12.9,16.7,,3.0,3.1,6.2,.116,,0.7,0.6,1.2,2.1
